id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
Galaxy-14,65,5,4,1,,1.218043826,0.611067269,-0.193398582,0.844303701,-0.038181075,,0.204468187,1.191373152,0,111,-1.52396171,-0.852968638
Galaxy-15,65,5,4,1,,1.218043826,0.611067269,-0.193398582,0.844303701,-0.061162844,,0.204468187,1.191373152,3,7,-1.612866172,-0.852111597
Galaxy-16,65,5,4,1,,1.21798373,0.611172565,-0.193081431,0.84433809,1.069280023,,1.358284042,1.191373152,15,138,-1.236048883,-0.852968638
Galaxy-17,65,5,4,1,,1.217923635,0.611207664,-0.192843568,0.84433809,0.83512615,,1.24943349,1.191373152,3,8,-1.147144421,-0.852797229
Galaxy-18,65,5,4,1,,1.217923635,0.611172565,-0.193002143,0.84433809,1.07014726,,,1.191373152,15,138,-1.502429294,-0.852797229
Galaxy-19,65,5,4,1,,1.218043826,0.611102368,-0.193319295,0.84433809,1.090960938,,,1.191373152,15,138,-1.214516467,-0.852283005
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",65,5,4,1,,1.217743348,0.611277862,-0.192367841,0.844315164,0.581459454,,,0.792210523,0,97,-1.170230724,-0.852625821
"Galaxy-26 (G-26, Intelsat 1A-6, Telstar 6)",65,5,4,1,,1.218164018,0.611067269,-0.193636446,0.844349553,0.689864025,0.137813194,0.944651943,0.792210523,0,97,-1.169342789,-0.852968638
"Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)",65,5,4,1,,1.218043826,0.61103217,-0.193557158,0.844292238,0.700704482,0.190053347,,0.792210523,3,5,-1.56802547,-0.853140046
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",65,5,4,1,,1.21798373,0.611172565,-0.193081431,0.84433809,1.43915642,,2.66449067,0.792210523,15,138,-1.124391095,-0.852968638
Galaxy-3C,65,5,4,1,,1.218524592,0.610821577,-0.194825763,0.844349553,1.164676046,1.216418718,3.099892879,1.191373152,15,138,-1.191652148,-0.852968638
Galileo IOV-1 FM2,13,9,28,3,,0.464803809,0.172753699,-0.186500544,0.169029938,-0.639176016,,-0.509591436,0.592629209,3,111,,0.083948159
Galileo IOV-1 PFM,13,5,28,3,,0.464683617,0.1727186,-0.186421256,0.168915308,-0.639176016,,-0.509591436,0.592629209,3,111,,0.084119567
Galileo IOV-2 FM3,13,5,28,3,,0.463121128,0.170156389,-0.192684992,0.166485152,-0.639176016,,-0.509591436,0.592629209,3,111,,0.095432503
Galileo IOV-2 FM4,13,5,28,3,,0.463301415,0.169945796,-0.193874309,0.166404911,-0.639176016,,-0.509591436,0.592629209,3,111,,0.09474687
Gaofen 1,11,10,31,2,,-0.894081087,-0.622338974,-0.181663988,-0.690030075,-0.509090531,,,-1.702555909,5,25,,0.827859409
Garpun-1 (Cosmos 2473),48,15,4,1,,1.218404401,0.610891775,-0.194508612,0.84433809,1.225382606,,,,0,98,0.749817077,-0.851597373
Garuda-1 (Aces 1),30,5,4,1,,1.217923635,0.611277862,-0.192684992,0.844406868,0.917947242,0.929866111,2.229088461,0.592629209,0,95,1.228524873,-0.832228255
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),12,5,44,2,6,-0.896304629,-0.616547675,-0.068599586,-0.688494034,-0.94140796,,,,2,39,,0.821517309
Genesis-1,65,5,44,2,,-0.900571427,-0.625322371,-0.16826435,-0.692276823,-0.352987949,,,-0.804439993,2,39,,0.252442343
Genesis-2,65,5,44,2,,-0.901412767,-0.624725691,-0.150503883,-0.692276823,-0.352987949,,,-0.804439993,24,39,,0.252442343
GeoEye-1 (Orbview 5),65,7,31,2,6,-0.891617162,-0.621215813,-0.186817695,-0.689181814,-0.09498507,,,-0.405277364,21,29,,0.828373634
Geotail (Geomagnetic Tail Laboratory),42,10,40,0,1,-0.697267535,3.024354115,6.389153801,2.035034105,-0.517762897,,-0.759294603,,1,29,,-0.470899933
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",71,10,16,2,6,-0.889814289,-0.620584035,-0.193557158,-0.688608664,-0.118834075,,-0.817845315,-0.804439993,19,49,,0.830087714
Globalstar M004 (Globalstar 4),65,5,4,2,2,-0.847386696,-0.595734099,-0.192684992,-0.671184906,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M006 (Globalstar 6),65,5,4,2,2,-0.847026122,-0.595628802,-0.19419146,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M023 (Globalstar 9),65,5,4,2,2,-0.847446792,-0.595383111,-0.187055558,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M025 (Globalstar 21),65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M027 (Globalstar 34),65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M028 (Globalstar 30),65,5,4,2,2,-0.847086217,-0.595593704,-0.193160719,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M029 (Globalstar 47),65,5,4,2,2,-0.877855237,-0.595699,0.074990618,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M031 (Globalstar 44),65,5,4,2,2,-0.843179994,-0.593417579,-0.194746475,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M037 (Globalstar 16),65,5,4,2,2,-0.847146313,-0.595558605,-0.192129978,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M039 (Globalstar 45),65,5,4,2,2,-0.847146313,-0.595593704,-0.192684992,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M040 (Globalstar 10),65,5,4,2,2,-0.84690593,-0.595593704,-0.194746475,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M047 (Globalstar 23),65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M056 (Globalstar 43),65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M059 (Globalstar 42),65,5,4,2,2,-0.847026122,-0.595628802,-0.19419146,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,110,,0.03818219
Globalstar M063 (Globalstar 49),65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,1,37,,0.03818219
Globalstar M065 (Globalstar 65),65,5,4,2,2,-0.847146313,-0.595593704,-0.192684992,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M066 (Globalstar 66),65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M067 (Globalstar 67),65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M068 (Globalstar 68),65,5,4,2,2,-0.847146313,-0.595663901,-0.193715734,-0.671184906,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M069 (Globalstar 69),65,5,4,2,2,-0.847146313,-0.595593704,-0.192684992,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M070 (Globalstar 70),65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M071 (Globalstar 71),65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
Globalstar M072 (Globalstar 72),65,5,4,2,2,-0.847086217,-0.595593704,-0.193160719,-0.671070276,-0.747580587,-0.721844627,-0.492175348,0.19346658,0,111,,0.03818219
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,111,,0.03818219
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",65,5,4,2,2,-0.847026122,-0.595628802,-0.19419146,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,111,,0.03818219
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",65,5,4,2,2,-0.847026122,-0.595628802,-0.19419146,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,111,,0.03818219
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,111,,0.03818219
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,111,,0.03818219
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671093202,-0.639176016,,-0.448635127,1.191373152,0,106,,0.038010782
"Globalstar M079 (Globalstar 79, Globalstar 2-1)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,111,,0.03818219
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,106,,0.03818219
"Globalstar M081 (Globalstar 81, Globalstar 2-11)",65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,105,,0.03818219
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,106,,0.03818219
"Globalstar M083 (Globalstar 83, Globalstar 2-7)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,105,,0.03818219
"Globalstar M084 (Globalstar 84, Globalstar 2-13)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,106,,0.03818219
"Globalstar M085 (Globalstar 85, Globalstar 2-10)",65,5,4,2,2,-0.847026122,-0.595628802,-0.19419146,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,105,,0.03818219
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,106,,0.03818219
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",65,5,4,2,2,-0.847086217,-0.595628802,-0.193715734,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,105,,0.03818219
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",65,5,4,2,2,-0.844261718,-0.584256798,-0.055913538,-0.666370447,-0.639176016,,-0.448635127,1.191373152,0,105,,0.415280059
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,106,,0.03818219
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",65,5,4,2,2,-0.847026122,-0.595628802,-0.19419146,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,105,,0.03818219
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",65,5,4,2,2,-0.847026122,-0.595663901,-0.194746475,-0.671070276,-0.639176016,,-0.448635127,1.191373152,0,106,,0.03818219
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",65,5,4,2,2,-0.850211196,-0.596155284,-0.17476595,-0.671930001,-0.639176016,,-0.448635127,1.191373152,0,106,,0.037839374
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",65,5,4,2,2,-0.876953801,-0.612757007,-0.188720602,-0.683289832,-0.639176016,,-0.448635127,1.191373152,0,106,,0.038353598
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",65,5,4,2,2,-0.847266505,-0.595523506,-0.190623509,-0.671093202,-0.639176016,,-0.448635127,1.191373152,0,106,,0.037839374
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",65,5,4,2,2,-0.876773514,-0.612721908,-0.189751344,-0.68324398,-0.639176016,,-0.448635127,1.191373152,0,106,,0.038353598
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",65,5,4,2,2,-0.849610239,-0.596471173,-0.184518349,-0.671230758,-0.639176016,,-0.448635127,1.191373152,0,106,,0.038353598
"Glonass 701 (Glonass-K, Cosmos 2471)",48,16,28,3,,0.216848781,0.026707673,-0.190544222,-0.027216592,-0.53727572,,-0.448635127,0.19346658,12,104,,0.257070363
"Glonass 712 (Glonass M, Cosmos 2413)",48,16,28,3,,0.217930505,0.02653218,-0.194112173,-0.026849776,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.257584586
Glonass 714 (Cosmos 2419),48,16,28,3,,0.216968973,0.025970599,-0.194112173,-0.027663649,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.257584586
"Glonass 715 (Glonass 35-1, Cosmos 2424)",48,16,28,3,,0.217690122,0.026146093,-0.195222202,-0.027250981,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.257584586
"Glonass 716 (Glonass 35-2, Cosmos 2425)",48,16,28,3,,0.217690122,0.026146093,-0.195222202,-0.027250981,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.257584586
"Glonass 717 (Glonass 35-3, Cosmos 2426)",48,16,28,3,,0.217690122,0.026146093,-0.195222202,-0.027250981,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.257584586
"Glonass 719 (Glonass 36-2, Cosmos 2432)",48,16,28,3,,0.215526675,0.027585143,-0.183249744,-0.027159277,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.259298668
"Glonass 720 (Glonass 36-3, Cosmos 2433)",48,16,28,3,,0.217329547,0.026251389,-0.193795021,-0.027342685,-0.300953755,,-0.470405237,-0.405277364,0,97,,0.259298668
"Glonass 721 (Glonass 37-1, Cosmos 2434)",48,16,28,3,,0.21841127,0.034850591,-0.158749814,-0.021336074,-0.300953755,,-0.470405237,-0.405277364,0,98,,0.255184872
"Glonass 722 (Glonass 37-2, Cosmos 2435)",48,16,28,3,,0.208735856,0.026005698,-0.172625179,-0.030747195,-0.300953755,,-0.470405237,-0.405277364,0,98,,0.255013464
"Glonass 723 (Glonass 37-3, Cosmos 2436)",48,16,28,3,,0.218711749,0.034394306,-0.161524887,-0.021519482,-0.300953755,,-0.470405237,-0.405277364,0,98,,0.255356281
"Glonass 724 (Glonass 38-1, Cosmos 2442)",48,16,28,3,,0.215406483,0.02653218,-0.187610573,-0.027881446,-0.300953755,,-0.470405237,-0.405277364,0,98,,0.257413178
"Glonass 725 (Glonass 38-2, Cosmos 2443)",48,16,28,3,,0.217930505,0.026672575,-0.19347787,-0.026849776,-0.300953755,,-0.470405237,-0.405277364,0,98,,0.257413178
"Glonass 726 (Glonass 38-3, Cosmos 2444)",48,16,28,3,,0.218050696,0.02653218,-0.194429324,-0.026884165,-0.300953755,,-0.470405237,-0.405277364,0,98,,0.257927403
"Glonass 727 (Glonass 39-1, Cosmos 2447)",48,16,28,3,,0.216608398,0.026567278,-0.190544222,-0.0274,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.258098811
"Glonass 729 (Glonass 39-3, Cosmos 2449)",48,16,28,3,,0.205190207,0.026321587,-0.162000614,-0.031882032,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.257413178
"Glonass 730 (Glonass 41-1, Cosmos 2456)",48,16,28,3,,0.217810313,0.036289641,-0.150821034,-0.020625368,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.257755994
"Glonass 731 (Glonass 42-1, Cosmos 2459)",48,16,28,3,,0.217029068,0.026707673,-0.191019948,-0.027136351,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.256898954
"Glonass 732 (Glonass 42-3, Cosmos 2460)",48,16,28,3,,0.217750217,0.026251389,-0.194905051,-0.027182203,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.257070363
"Glonass 733 (Glonass 41-2, Cosmos 2457)",48,16,28,3,,0.201704654,0.026146093,-0.153675395,-0.033303444,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.25724177
"Glonass 734 (Glonass 41-3, Cosmos 2458)",48,16,28,3,,0.215767058,0.026110994,-0.190385646,-0.028019002,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.257584586
"Glonass 735 (Glonass 42-2, Cosmos 2461)",48,16,28,3,,0.21756993,0.026321587,-0.194112173,-0.027182203,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.257070363
"Glonass 736 (Glonass 43-1, Cosmos 2464)",48,16,28,3,,0.204408963,0.025900402,-0.161842038,-0.032466645,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.257927403
"Glonass 737 (Glonass 43-2, Cosmos 2465)",48,16,28,3,,0.216848781,0.034920788,-0.154388985,-0.021886298,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.258270219
"Glonass 738 (Glonass 43-3, Cosmos 2466)",48,16,28,3,,0.214625239,0.027725538,-0.180316095,-0.027411463,-0.329138943,,-0.6010259,-0.405277364,0,98,,0.258270219
"Glonass 742 (Glonass-M, Cosmos 2474)",48,16,28,3,,0.217449739,0.027128859,-0.19022707,-0.026735146,-0.329138943,,-0.6010259,0.19346658,12,104,,0.257927403
"Glonass 743 (Glonass 44-2, Cosmos 2476)",48,16,28,3,,0.21841127,0.028743403,-0.185628378,-0.025290808,-0.329138943,,-0.6010259,0.19346658,0,98,,0.257584586
"Glonass 744 (Glonass 44-3, Cosmos 2477)",48,16,28,3,,0.218892036,0.028567909,-0.187610573,-0.025244956,-0.329138943,,-0.6010259,0.19346658,0,98,,0.257584586
"Glonass 745 (Glonass 44-1, Cosmos 2475)",48,16,28,3,,0.218230983,0.029024193,-0.183884046,-0.025199104,-0.329138943,,-0.6010259,0.19346658,0,98,,0.25724177
"Glonass 746 (Glonass-M, Cosmos 2478)",48,16,28,3,,0.217690122,0.027269254,-0.19022707,-0.026528812,-0.329138943,,-0.6010259,0.19346658,12,104,,0.257927403
"Glonass 747 (Glonass-M, Cosmos 2485)",48,16,28,3,,0.215106005,0.027655341,-0.181822564,-0.027273907,-0.329138943,,-0.6010259,0.19346658,12,104,,0.257070363
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",65,10,17,1,,1.21756306,0.611277862,-0.192129978,0.84422346,0.444869694,0.186980397,-0.318014464,-0.405277364,1,33,-1.29986919,-0.848340618
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",65,10,17,1,,1.181625807,0.589130531,-0.195222202,0.84422346,0.444869694,0.186980397,-0.318014464,0.19346658,1,33,-1.130384654,-0.853140046
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",65,10,17,1,,1.218644784,0.610821577,-0.195063626,0.844383942,0.434029237,0.684030094,,0.19346658,1,33,-1.129607711,-0.845940905
"GOES 3 (Geostationary Operational Environmental Satellite, GOES-C)",65,0,4,1,,1.217803443,0.611242763,-0.192605704,0.844315164,-0.670830151,,,-0.405277364,1,32,-1.262908908,-0.608026431
Gå_ktåÙrk 2,61,15,12,2,6,-0.891737353,-0.621075418,-0.18340832,-0.689124499,-0.765358937,,,-0.804439993,5,59,,0.829402083
Gonets D1-1,48,8,4,2,2,-0.847927558,-0.595628802,-0.186579832,-0.671299536,-0.838640427,,-0.792602872,,12,131,,0.562691044
Gonets D1-2,48,7,4,2,2,-0.847506888,-0.595628802,-0.190147783,-0.671184906,-0.838640427,,-0.792602872,,12,131,,0.562691044
Gonets D1-3,48,7,4,2,2,-0.8473266,-0.595558605,-0.190623509,-0.671184906,-0.838640427,,-0.792602872,,12,131,,0.562691044
Gonets M-12,48,7,4,2,2,-0.841978079,-0.592294418,-0.188641314,-0.668777677,-0.825631879,,-0.792602872,-1.702555909,12,100,,0.560976963
Gonets M-13,48,7,4,2,2,-0.843119899,-0.592294418,-0.179126779,-0.669006937,-0.825631879,,-0.792602872,-1.702555909,12,100,,0.560976963
Gonets M-14,48,7,4,2,,-0.842879516,-0.592399715,-0.182615442,-0.669052789,-0.825631879,,-0.792602872,-1.702555909,12,100,,0.560805555
Gonets M-15,48,7,4,2,2,-0.842999707,-0.592259319,-0.179602505,-0.669006937,-0.825631879,,-0.792602872,-1.702555909,12,100,,0.560976963
Gonets M-16,48,7,4,2,,-0.842218462,-0.592364616,-0.187689861,-0.668892307,-0.825631879,,-0.792602872,-1.702555909,12,100,,0.560805555
Gonets M-17,48,7,4,2,,-0.842158367,-0.592329517,-0.187689861,-0.668869381,-0.825631879,,-0.792602872,-1.702555909,12,100,,0.732213677
"Grace 1 (Gravity Recovery and Climate Experiment, ""Tom and Jerry"")",24,0,16,2,4,-0.905799756,-0.629499125,-0.186500544,-0.694798683,-0.734572039,-0.64886206,-0.786071839,-0.804439993,12,100,,0.672392242
"Grace 2 (Gravity Recovery and Climate Experiment, ""Tom and Jerry"")",24,0,16,2,4,-0.905859852,-0.629464027,-0.185311227,-0.694798683,-0.734572039,-0.64886206,-0.786071839,-0.804439993,12,100,,0.672392242
"Greenhouse Gases Observing Satellite (Ibuki, GoSAT)",35,0,16,2,6,-0.891797449,-0.621777394,-0.194112173,-0.689411073,-0.183876818,,0.008537193,-0.804439993,19,48,,0.828373634
GSAT-10,27,10,4,1,,1.218103922,0.611067269,-0.193557158,0.844303701,0.531593351,0.156250895,,1.191373152,3,7,0.784224547,-0.852111597
GSAT-12,27,10,4,1,,1.21714239,0.611628849,-0.190544222,0.84433809,-0.331307035,-0.561282979,-0.507414425,-0.20569605,16,83,0.783558596,-0.851597373
GSAT-14,27,10,4,1,,1.217262582,0.611593751,-0.190782085,0.84433809,-0.083277376,,,0.592629209,16,45,0.684331892,-0.849197659
GSAT-2,27,10,10,1,,1.218043826,0.611102368,-0.193319295,0.844303701,-0.151355447,,,-1.702555909,13,46,0.396197082,-0.852454413
GSAT-7,27,15,4,1,,1.216902007,0.611734146,-0.189830631,0.84422346,0.206379638,,,-0.405277364,3,8,0.684331892,-0.849883291
GSAT-8,27,10,8,1,,1.218404401,0.611102368,-0.193874309,0.844487109,0.398472538,0.104778979,0.5419049,0.592629209,3,7,0.473447401,-0.851597373
"Haiyang 1B (HY 1B, Ocean 1B)",11,10,24,2,,-0.884946534,-0.617109256,-0.183566895,-0.686430694,-0.725899673,,-0.720761508,-1.203602622,18,58,,0.833515877
Haiyang 2A (HY 2A),11,10,24,2,,-0.873949014,-0.611353056,-0.194112173,-0.682189385,-0.292281389,,,-1.203602622,18,66,,0.850656689
HAMSat (VUSat Oscar 52),27,11,4,2,6,-0.895823863,-0.622970752,-0.175400252,-0.690557373,-0.924280038,-0.958461794,,,13,87,,0.819803228
Helios 2A,21,15,30,2,6,-0.891016204,-0.62132111,-0.194112173,-0.689525703,0.878487978,0.315276069,-0.187393801,-0.804439993,3,9,,0.828373634
Helios 2B,21,15,30,2,6,-0.891136396,-0.621356208,-0.193557158,-0.689101573,0.878487978,0.315276069,-0.187393801,-0.804439993,3,7,,0.828373634
"HellasSat 2 (Intelsat K-TV, NSS K-TV)",25,5,4,1,,1.217623156,0.611348059,-0.19205069,0.844315164,0.488231523,,0.835801391,1.191373152,1,19,0.296526412,-0.852968638
"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)",65,11,1,2,2,-0.899790182,-0.625954149,-0.186024817,-0.692391453,-0.815658658,,-0.728598747,-1.203602622,1,92,,-0.201789181
Hinode (Solar B),42,10,38,2,,-0.891677257,-0.620864825,-0.180633247,-0.689067184,-0.639176016,-0.583561868,-0.6010259,-1.203602622,20,51,,0.828373634
"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",35,10,41,0,,-0.874730258,-0.604754485,-0.08683578,-0.680045804,-0.791809652,,-0.62279601,-1.602765252,20,42,,-0.321774867
Hispasat 1C,55,6,4,1,,1.217322677,0.611523553,-0.191099236,0.844315164,0.406711285,0.011053998,0.487479623,1.191373152,1,14,-0.469206277,-0.852625821
Hispasat 1D,55,6,4,1,,1.217322677,0.611558652,-0.191019948,0.844349553,0.483028103,0.070976527,0.531019844,1.191373152,1,14,-0.46942826,-0.852797229
Hispasat 1E,55,5,4,1,,1.218404401,0.61075138,-0.194825763,0.844166145,1.364140457,0.680188906,2.229088461,1.191373152,3,7,-0.46998322,-0.851940189
HJ-1A (Huan Jing 1A),11,10,31,2,4,-0.894201278,-0.621952888,-0.174290223,-0.689869593,-0.738908222,,,-1.203602622,18,58,,0.82323139
HJ-1B (Huan Jing 1B),11,10,31,2,4,-0.894621949,-0.621672097,-0.165806428,-0.689869593,-0.738908222,,,-1.203602622,18,58,,0.82323139
HJ-1C (Huan Jing 1C),11,10,31,2,,-0.902554586,-0.62763889,-0.187134846,-0.693503364,-0.556788542,,,-1.203602622,18,58,,0.815518025
Ho'oponopono-2 (H2),65,0,29,2,,-0.901953629,-0.627603791,-0.192367841,-0.693365808,-0.941191151,,,-1.602765252,22,74,,-0.158765742
Horizons 2,71,5,4,1,,1.218103922,0.611102368,-0.193398582,0.84433809,0.054613238,,0.204468187,1.191373152,3,7,0.806422914,-0.853140046
Horyu-2 (High Voltage Technology Demonstration Satellite-2),35,0,44,2,6,-0.892879172,-0.621812493,-0.184518349,-0.689640333,-0.939630126,,,-1.602765252,19,48,,0.830087714
"Hubble Space Telescope (HST, Space Telescope)",14,10,3,2,2,-0.898588267,-0.625673358,-0.192922856,-0.692047563,3.874790322,,-0.296244353,0.19346658,1,115,,-0.364626897
HumSat-D,55,0,44,2,6,-0.896484917,-0.622830357,-0.16683717,-0.690786633,-0.942275197,,,,2,39,,0.82323139
HYLAS 1 (Highly Adaptable Satellite),76,5,4,1,,1.217683252,0.611348059,-0.192129978,0.844303701,0.029463378,,,1.191373152,3,7,-0.508830363,-0.852968638
HYLAS 2 (Highly Adaptable Satellite),76,5,4,1,,1.21798373,0.611207664,-0.193002143,0.844383942,0.493001324,0.18621216,,1.191373152,3,8,0.23481495,-0.852111597
ICube,46,10,44,2,6,-0.896484917,-0.622865456,-0.167392184,-0.690786633,-0.942275197,,,,2,39,,0.82323139
IGS-1A (Information Gathering Satellite 1A),35,10,30,2,6,-0.902794969,-0.628060075,-0.191733539,-0.693698235,-0.574133274,,,-0.804439993,19,48,,0.814660984
IGS-3A (Information Gathering Satellite 3A),35,10,30,2,6,-0.902855065,-0.628024977,-0.190623509,-0.693686772,-0.574133274,,,-0.804439993,19,48,,0.814660984
"IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)",35,10,30,2,6,-0.902855065,-0.628024977,-0.190623509,-0.693686772,-0.248919561,,,-0.804439993,19,48,,0.814832392
"IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)",35,10,30,2,6,-0.896605108,-0.624550197,-0.19347787,-0.691279542,-0.248919561,,,-0.804439993,19,48,,0.8213459
