ID,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Expected_Lifetime,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
Iridium 60 (Iridium SV060),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35884.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 61 (Iridium SV061),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35879.0,8.0,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,,1.507964474
Iridium 62 (Iridium SV062),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 63 (Iridium SV063),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 64 (Iridium SV064),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 65 (Iridium SV065),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 66 (Iridium SV066),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 67 (Iridium SV067),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 68 (Iridium SV068),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35892.0,8.0,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,,1.507964474
Iridium 7 (Iridium SV007),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35555.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 70 (Iridium SV070),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35932.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.506219144
Iridium 72 (Iridium SV072),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35932.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 74 (Iridium SV074),USA,Government/Commercial,Communications,LEO,Polar,747.0,751.0,0.00028,99.8,689.0,556.0,1400.0,35932.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.509709803
Iridium 75 (Iridium SV075),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35932.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 76 (Iridium SV076),USA,Government/Commercial,Communications,LEO,Polar,776.0,780.0,0.00028,100.4,689.0,556.0,1400.0,36026.0,8.0,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,,1.507964474
Iridium 77 (Iridium SV077),USA,Government/Commercial,Communications,LEO,Polar,776.0,780.0,0.00028,100.4,689.0,556.0,1400.0,36046.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 8 (Iridium SV008),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,35555.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 80 (Iridium SV080),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,36046.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 81 (Iridium SV081),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,36046.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 82 (Iridium SV082),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,36046.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 83 (Iridium SV083),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,36105.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 84 (Iridium SV084),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,36105.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 86 (Iridium SV086),USA,Government/Commercial,Communications,LEO,Polar,776.0,780.0,0.00028,100.4,689.0,556.0,1400.0,36105.0,8.0,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,,1.507964474
Iridium 90 (Iridium SV090),USA,Government/Commercial,Communications,LEO,Polar,744.0,753.0,0.00063,99.8,689.0,556.0,1400.0,37298.0,8.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.507964474
Iridium 91 (Iridium SV091),USA,Government/Commercial,Communications,LEO,Polar,777.0,778.0,7e-05,100.4,689.0,556.0,1400.0,37298.0,8.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.507964474
Iridium 94 (Iridium SV094),USA,Government/Commercial,Communications,LEO,Polar,773.0,782.0,0.00063,100.4,689.0,556.0,1400.0,37298.0,8.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.507964474
Iridium 95 (Iridium SV095),USA,Government/Commercial,Communications,LEO,Polar,776.0,779.0,0.00021,100.4,689.0,556.0,1400.0,37298.0,8.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.507964474
Iridium 96 (Iridium SV096),USA,Government/Commercial,Communications,LEO,Polar,745.0,754.0,0.00063,99.8,689.0,556.0,1400.0,37298.0,8.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.521927108
Iridium 97 (Iridium SV097),USA,Government/Commercial,Communications,LEO,Polar,777.0,778.0,7e-05,100.4,689.0,556.0,1400.0,37427.0,8.0,USA,Plesetsk Cosmodrome,Rokot/BrizKM,www.satellitedebris.net 12/12,,1.507964474
Iridium 98 (Iridium SV098),USA,Government/Commercial,Communications,LEO,Polar,748.0,750.0,0.00014,99.8,689.0,556.0,1400.0,37427.0,8.0,USA,Plesetsk Cosmodrome,Rokot/BrizKM,www.satellitedebris.net 12/12,,1.507964474
IRIS (Interface Region Imaging Spectrometer),USA,Government,Space Science,LEO,Sun-Synchronous,620.0,664.0,0.00314,97.5,236.0,,,41453.0,2.0,USA,Vandenberg AFB,L1011,ZARYA,,1.7086773380000002
IRNSS-1A (Indian Regional Navigation Satellite System),India,Government,Navigation,GEO,,35712.0,35872.0,0.0019,1436.0,1425.0,614.0,1660.0,41456.0,10.0,India,Sriharikota Launch Station,PSLV,ZARYA,0.959931089,0.472984227
IRS-P6 (Resourcesat-1),India,Government,Remote Sensing,LEO,Sun-Synchronous,817.0,823.0,0.00042,101.3,1360.0,,1200.0,37911.0,5.0,India,Sriharikota Launch Station,PSLV C5,www.satellitedebris.net 12/12,,1.724385301
ITU-pSAT1 (Istanbul Technical University Picosat-1),Turkey,Civil,Technology Development,LEO,Sun-Synchronous,710.0,721.0,0.00078,99.1,1.0,,,40079.0,1.0,Turkey,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,,1.7174039840000002
Jason 2,USA/France,Government,Earth Science,LEO,Intermediate,1332.0,1344.0,0.00078,112.4,553.0,510.0,500.0,39619.0,5.0,France,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.151917306
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Commercial,Communications,GEO,,35772.0,35801.0,0.00034,1436.1,4400.0,1858.0,,38940.0,15.0,USA,Guiana Space Center,Ariane 5,JM/12_08,2.225469329,0.020769418
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Commercial,Communications,GEO,,35784.0,35789.0,6e-05,1436.11,3531.0,1669.0,7200.0,36806.0,15.0,USA,Guiana Space Center,Ariane 44L,JM/12_08,1.921607506,0.000174533
JCSat 13 (Japan Communications Satellite 13),Japan,Commercial,Communications,GEO,,35780.0,35791.0,0.00013000000000000002,1436.03,4500.0,,,41044.0,15.0,USA,Guiana Space Center,Ariane 5 ECA,ZARYA,2.164208272,0.000872665
JCSat 1B (JCSAT 5),Japan,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.09,2982.0,1308.0,5200.0,35766.0,12.0,USA,Guiana Space Center,Ariane 4,JM/12_08,2.234545041,0.000174533
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Commercial,Communications,GEO,,35788.0,35794.0,7e-05,1436.1,2500.0,1460.0,3500.0,37344.0,11.0,USA,Guiana Space Center,Ariane 44L,JM/12_08,2.6878070480000003,0.000174533
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Commercial,Communications,GEO,,33782.0,37768.0,0.04729,1435.52,2900.0,1230.0,5200.0,36206.0,14.5,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,2.161590279,0.00122173
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.1,4400.0,,,38819.0,12.0,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,2.304532744,0.000174533
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Commercial,Communications,GEO,,35780.0,35794.0,0.00017,1436.12,4000.0,,,40046.0,15.0,USA,Guiana Space Center,Ariane 5,JM/10_09,2.486919651,0.000698132
Jugnu,India,Civil,Earth Observation,LEO,,839.0,866.0,0.00187,102.0,3.0,,3.0,40828.0,1.0,India,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,,0.34906585
Kalpana-1 (Metsat-1),India,Government,Meteorology,GEO,,35783.0,35789.0,7e-05,1436.08,1060.0,500.0,550.0,37511.0,0.5,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),JM/12_08,1.292765377,0.000698132
KazSat-2,Kazakhstan,Commercial,Communications,GEO,,35786.0,35788.0,2e-05,1436.13,1300.0,,,40739.0,12.0,Russia,Baikonur Cosmodrome,Proton M,JM/9_11,1.509709803,0.000523599
"Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)",USA,Military,Reconnaissance,LEO,Sun-Synchronous,800.0,800.0,0.0,100.87,18000.0,10000.0,,36302.0,5.0,USA,Vandenberg AFB,Titan IV,JMSatcat1006,,1.106538746
"Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, NROL 14, USA 161)",USA,Military,Reconnaissance,LEO,Sun-Synchronous,202.0,1041.0,0.06,97.13,18000.0,10000.0,,37169.0,5.0,USA,Vandenberg AFB,Titan IV,oosa,,1.706932008
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,Military,Reconnaissance,LEO,Sun-Synchronous,264.0,1050.0,0.05593,97.0,18000.0,10000.0,,38644.0,5.0,USA,Vandenberg AFB,Titan IV,JMSR,,1.7086773380000002
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,Military,Reconnaissance,LEO,Sun-Synchronous,200.0,1000.0,0.05739,97.0,18000.0,10000.0,,40563.0,5.0,USA,Vandenberg AFB,Delta 4 Heavy,,,1.706932008
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,Military,Reconnaissance,LEO,Sun-Synchronous,257.0,997.0,0.05288,97.25,18000.0,10000.0,,41514.0,5.0,USA,Vandenberg AFB,Delta 4 Heavy,ZARYA,,1.706932008
"Kiku-8 (ETS-8, Engineering Test Satellite 8)",Japan,Government,Technology Development,GEO,,35778.0,35792.0,0.00017,1436.04,5800.0,,,39069.0,,Japan,Tanegashima Space Center,H-2A,JM/12_08,2.549227905,0.000523599
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Government,Technology Development,GEO,,35776.0,35796.0,0.00024,1436.1,4850.0,2450.0,,39501.0,,Japan,Tanegashima Space Center,H-2A,JM/12_08,2.496693495,0.000349066
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Civil,Technology Development,LEO,,651.0,667.0,0.00114,97.92,3.0,,,39836.0,1.0,Japan,Tanegashima Space Center,H-2A,SC - ASCR,,1.710946266
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,Government/Commercial,Earth Observation/Technology Development,LEO,Sun-Synchronous,676.0,698.0,0.00156,98.5,800.0,,955.0,38926.0,3.0,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,,1.713913325
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,679.0,696.0,0.0012,98.5,1000.0,,1300.0,41046.0,4.0,South Korea/France/UK/Germany,Tanegashima Space Center,H-2A,www.satellitedebris.net 12/12,,1.713913325
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,535.0,552.0,0.00123,95.5,1000.0,,1400.0,41508.0,5.0,South Korea,Yasny Cosmodrome,Dnepr,ZARYA,,1.70344135
Kondor,Russia,Military,Reconnaissance,LEO,,497.0,501.0,0.00029,94.6,1150.0,,,41452.0,,Russia,Baikonur Cosmodrome,Strela,ZARYA,,1.30428455
Koreasat 5 (Mugungwha 5),South Korea,Military/Commercial,Communications,GEO,,35780.0,35792.0,0.00014,1436.1,4450.0,,,38951.0,,France,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,1.973618318,0.000349066
Koreasat 6 (Mugungwha 6),South Korea,Commercial,Communications,GEO,,35780.0,35794.0,0.00017,1436.12,2850.0,1150.0,,40541.0,15.0,USA,Guiana Space Center,Ariane 5,SC - ASCR,2.024581932,0.000872665
Kuaizhou-1 (KZ-1),China (PR),Government,Remote Sensing,LEO,,291.0,317.0,0.00195,90.61,,,,41542.0,,China (PR),Jiuquan Satellite Launch Center,Kuaizhou,SC - ASCR,,1.686686189
KySat-2,USA,Civil,Technology Development,LEO,,498.0,499.0,7e-05,94.58,2.5,,,41597.0,1.0,USA,Wallops Island Flight Facility,Minotaur 1,SC - ASCR,,0.706858347
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,Military,Surveillance,LEO,Intermediate,671.0,675.0,0.00028,98.2,14500.0,,,35727.0,5.0,USA,Vandenberg AFB,Titan IV,JMSatcat304,,0.994837674
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,Military,Surveillance,LEO,Intermediate,574.0,676.0,0.00729,97.21,14500.0,,,36755.0,9.0,USA,Vandenberg AFB,Titan IV,JMSatcat304,,1.186823891
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,Military,Surveillance,LEO,Intermediate,713.0,716.0,0.00021,99.08,14500.0,,,38472.0,9.0,USA,Cape Canaveral,Titan 4B,SC - ASCR,,0.995012207
Landsat 7,USA,Government,Earth Science,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,2744.0,2200.0,1500.0,36265.0,15.0,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,,1.713913325
Landsat 8,USA,Government,Earth Science,LEO,Sun-Synchronous,700.0,705.0,0.00035,98.8,2780.0,1512.0,4300.0,41316.0,5.0,USA,Vandenberg AFB,Atlas 5,SC - ASCR,,1.713913325
LAPAN-Tubsat,Indonesia,Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,617.0,637.0,0.00143,97.2,60.0,,14.0,39092.0,,Germany,Satish Dhawan Space Center,PSLV C7,www.satellitedebris.net 12/12,,1.705186679
LatinSat A,Argentina,Commercial,Communications,LEO,Intermediate,610.0,668.0,0.00414,97.5,,12.0,,37610.0,,USA,Baikonur Cosmodrome,Dnepr LV,www.satellitedebris.net 12/12,,1.127482697
LatinSat B,Argentina,Commercial,Communications,LEO,Intermediate,603.0,717.0,0.00811,97.9,,12.0,,37610.0,,USA,Baikonur Cosmodrome,Dnepr LV,www.satellitedebris.net 12/12,,1.127482697
"Leasat 5 (Syncom IV-5, Leased Satellite F5)",USA/Australia,Military,Communications,GEO,,35760.0,35812.0,0.00062,1436.1,3400.0,1388.0,1200.0,32882.0,10.0,USA,Kennedy Space Center,Space Shuttle (STS 32R),JM/12_08,1.746725515,0.139102741
Lotos-S (Cosmos 2455),Russia,Military,Reconnaissance,LEO,Sun-Synchronous,900.0,911.0,0.0007599999999999999,103.1,5000.0,,,40137.0,,Russia,Plesetsk Cosmodrome,Soyuz U,www.satellitedebris.net 12/12,,1.172861257
Luch 5A,Russia,Government,Communications,GEO,,35778.0,35793.0,0.00018,1436.8,950.0,,,40888.0,,Russia/France,Baikonur Cosmodrome,Proton M,JM/1_12,,0.084648469
Luch 5B,Russia,Government,Communications,GEO,,35772.0,35801.0,0.00034,1436.09,1282.0,950.0,,41215.0,,Russia,Baikonur Cosmodrome,Proton M,SC - ASCR,-0.27925268,0.003839724
Maroc Tubsat,Morocco/Germany,Government,Technology Development,LEO,Sun-Synchronous,984.0,1014.0,0.00204,105.1,47.0,,56.0,37235.0,0.5,Morocco/Germany,Baikonur Cosmodrome,Zenit,www.satellitedebris.net 12/12,,1.731366618
MaSat 1  (Magyar Satellite/Oscar 72),Hungary,Civil,Technology Development,LEO,,305.0,1297.0,0.06917000000000001,100.9,1.0,,,40952.0,,Hungary,Guiana Space Center,Vega,www.satellitedebris.net 12/12,,1.21300383
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,Civil,Technology Development,LEO,,457.0,816.0,0.02562,97.45,2.0,,,40844.0,,USA,Vandenberg AFB,Delta 7920,SC - ASCR,,1.774999849
MCubed-2 (Michigan Multipurpose MinisatelliteÊ2),USA,Civil,Technology Development,LEO,,443.0,886.0,0.03149,98.0,1.0,,,41614.0,,USA,Vandenberg AFB,Atlas 5,ZARYA estimated,,2.09963109
Measat 2 (Malaysia East Asia Sat 2),Malaysia,Commercial,Communications,GEO,,35782.0,35791.0,0.00011,1436.12,1450.0,650.0,1200.0,35383.0,11.5,USA,Guiana Space Center,Ariane 44L,JM/12_08,2.583087293,0.019024089
Measat 3 (Malaysia East Asia Sat 3),Malaysia,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.1,4900.0,3220.0,10800.0,39062.0,15.0,USA,Baikonur Cosmodrome,Proton M,JM/12_08,1.5976743969999998,0.0
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,Commercial,Communications,GEO,,35728.0,35788.0,0.0007099999999999999,1434.6,2417.0,,,39985.0,15.0,USA,Baikonur Cosmodrome,Zenit 3SLB,SC - ASCR,1.596976266,0.000698132
Megha-Tropiques,India/France,Government,Earth Science,LEO,,853.0,868.0,0.00104,102.2,1000.0,,,40828.0,5.0,India,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,,0.34906585
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,Military,Surveillance,GEO,,35598.0,35976.0,0.00448,1436.13,8000.0,4000.0,,34573.0,,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.487819526,0.08901179199999999
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,Military,Surveillance,GEO,,33674.0,37900.0,0.05012,1436.12,8000.0,4000.0,,35179.0,,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.410326907,0.12793263400000002
Meridian-3,Russia,Military,Communications,Elliptical,Molniya,961.0,39388.0,0.72382,645.98,2500.0,,,40484.0,,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,SC - ASCR,,1.09606677
Meridian-4,Russia,Military,Communications,Elliptical,Molniya,964.0,39396.0,0.72377,717.88,2500.0,,,40667.0,,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,SC - ASCR,,1.09606677
Meridian-6 (Meridian 16L),Russia,Military,Communications,Elliptical,Molniya,1006.0,39362.0,0.72223,718.04,,,,41227.0,,Russia,Plesetsk Cosmodrome,Soyuz 2-1A,SC - ASCR,,1.09484504
Meteor-M (Meteor-M1),Russia,Government,Meteorology,LEO,Polar,818.0,820.0,0.00014,101.3,2700.0,,,40073.0,5.0,Russia,Baikonur Cosmodrome,Soyuz 2-1B,www.satellitedebris.net 12/12,,1.720894642
"Meteosat 10 (MSGalaxy-3,MSG 3)",Multinational,Government/Civil,Earth Science/Meteorology,GEO,,35784.0,35791.0,8e-05,1436.15,2000.0,,,41095.0,7.0,France,Guiana Space Center,Ariane 5 ECA,ZARYA,,0.031415927
Meteosat 7 (MTP 1),Multinational,Government/Civil,Earth Science/Meteorology,GEO,,35770.0,35797.0,0.00032,1435.96,696.0,320.0,200.0,35675.0,5.0,France,Guiana Space Center,Ariane 5,JM/12_08,-1.009672972,0.082205008
"Meteosat 8 (MSGalaxy-1, MSG-1)",Multinational,Government/Civil,Earth Science/Meteorology,GEO,,35781.0,35793.0,0.00014,1436.1,2000.0,1000.0,700.0,37489.0,12.0,France,Guiana Space Center,Ariane 5,JM/12_08,0.16179202199999998,0.008028515
"Meteosat 9 (MSGalaxy-2, MSG 2)",Multinational,Government/Civil,Earth Science/Meteorology,GEO,,35775.0,35795.0,0.00024,1436.0,2000.0,1000.0,700.0,38707.0,12.0,France/Italy,Guiana Space Center,Ariane 5G,JM/12_08,-0.000349066,0.005061455
MetOp-A (Meteorological Operational satellite),Multinational,Government/Civil,Earth Science/Meteorology,LEO,Polar,820.0,821.0,7e-05,101.3,4193.0,3750.0,,39009.0,5.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),www.satellitedebris.net 12/12,,1.722639972
MetOp-B (Meteorological Operational satellite),Multinational,Government/Civil,Earth Science/Meteorology,LEO,Polar,819.0,822.0,0.00021,101.3,4085.0,,,41169.0,5.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2-1A,SC - ASCR,,1.722639972
Mexsat-3 (Mexsat Bicentenario),Mexico,Government/Military,Communications,GEO,,35784.0,35791.0,8e-05,1436.16,2900.0,,3500.0,41262.0,15.0,USA,Guiana Space Center,Atlas 5 ECA,SC - ASCR,-2.005383311,0.00122173
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,Military,Communications,GEO,,35754.0,35819.0,0.0007700000000000001,1436.13,4536.0,,8000.0,34372.0,10.0,USA,Cape Canaveral,Titan 4A,JM/12_08,-0.6789330790000001,0.104545222
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)",USA,Military,Communications,GEO,,35765.0,35809.0,0.0005200000000000001,1436.13,4536.0,,8000.0,35009.0,10.0,USA,Cape Canaveral,Titan 4A,JM/304,0.068765973,0.006108651999999999
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,Military,Communications,GEO,,35764.0,35768.0,5e-05,1435.04,4536.0,,8000.0,36949.0,12.0,USA,Cape Canaveral,Titan 4B,JMSatcat10_06,-1.185078562,0.078539816
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,Military,Communications,GEO,,35753.0,35820.0,0.00079,1436.12,4536.0,,8000.0,37272.0,0.0,USA,Cape Canaveral,Titan 4B,JM/304,0.068416907,0.060213859
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,Military,Communications,GEO,,35768.0,35806.0,0.00045,1436.13,4536.0,,8000.0,37719.0,12.0,USA,Cape Canaveral,Titan 4B,JM/12_08,-1.570447261,0.014311700000000004
"MiRÊÊ(Mikhail Reshetnev [MiR], Yubileiny-2/RS-40)",Russia,Civil,Earth Observation/Technology Development,LEO,,1481.0,1510.0,0.00184,115.9,65.0,35.0,40.0,41118.0,1.0,Russia,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,,1.439896633
MKA-FKI-1 (Zond PP),Russia,Government,Remote Sensing/Earth Science,LEO,Sun-Synchronous,805.0,821.0,0.00111,101.2,110.0,,220.0,41112.0,3.0,Russia,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,,1.72613063
MOST (Microvariability & Oscillations of STars),Canada,Government,Astrophysics,LEO,Sun-Synchronous,817.0,832.0,0.00104,101.4,53.0,53.0,35.0,37802.0,1.0,Canada,Plesetsk Cosmodrome,Rokot,www.satellitedebris.net 12/12,,1.722639972
Mozhayets 4 (RS-22),Russia,Civil,Technology Development,LEO,Sun-Synchronous,669.0,690.0,0.00149,98.3,64.0,,,37891.0,,Russia,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,,1.706932008
MSAT 1,USA/Canada,Commercial,Communications,GEO,,35763.0,35809.0,0.00055,1436.09,2850.0,1330.0,3300.0,35175.0,12.0,Canada,Guiana Space Center,Ariane 42P,JM/12_08,-1.857553923,0.023911011
"MSAT 2 (AMSC-1, ACTel-1)",USA/Canada,Commercial,Communications,GEO,,35776.0,35796.0,0.00024,1436.09,2850.0,1330.0,3300.0,34796.0,10.0,USA,Cape Canaveral,Atlas 2A,JM/12_08,-1.766447736,0.070162236
MTI (Multispectral Thermal Imager),USA,Government/Military,Technology Development,LEO,Sun-Synchronous,500.0,525.0,0.00182,94.9,587.0,,575.0,36597.0,3.0,USA,Vandenberg AFB,Taurus,JMSatcat1104,,1.699950691
MTSAT-1R (Himawari 6),Japan,Government,Meteorology/Navigation,GEO,,35778.0,35796.0,0.00021,1436.1,2900.0,1250.0,2700.0,38409.0,5.0,USA,Tanegashima Space Center,H-2A,JM/12_08,2.444682683,0.00122173
MTSAT-2 (Multi-Functional Transport Satellite),Japan,Government,Meteorology,GEO,,35776.0,35797.0,0.00025,1436.1,2900.0,1250.0,2700.0,38766.0,5.0,Japan,Tanegashima Space Center,H-2A,JM/12_08,2.531774613,0.000174533
MUOS-1 (Mobile User Objective System 1),USA,Military,Communications,GEO,,35800.0,35800.0,0.0,1436.1,6804.0,,,40963.0,0.5,USA,Cape Canaveral,Atlas 5,Estimated,,
MUOS-2 (Mobile User Objective System 2),USA,Military,Communications,GEO,,35800.0,35900.0,0.00118,1436.1,6804.0,,,41474.0,0.5,USA,Cape Canaveral,Atlas 5,Estimated,,
